Rooms,Type,Price,Method,SellerG,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Longtitude,Regionname,Propertycount
4,0,2100000,1,155,6.4,3078,2,2,575,271,2008,6,145.0319,2,2211
3,0,865000,3,260,6.4,3078,1,1,180,131,2010,6,145.0243,2,2211
2,2,390000,4,155,6.4,3078,1,1,0,60,1960,6,145.0314,2,2211
2,2,512000,1,127,6.4,3078,1,1,0,61,1965,6,145.0262,2,2211
4,0,1900000,3,140,6.4,3078,2,2,556,272,1930,31,145.0225,2,2211
4,0,1950000,1,106,6.4,3078,2,3,589,210,1920,6,145.0309,2,2211
3,0,520000,4,85,13.8,3018,2,1,352,242,2015,10,144.825,6,5301
5,0,1525000,1,85,13.8,3018,3,3,729,268,2005,10,144.8105,6,5301
2,1,720000,1,260,13.8,3018,1,2,292,125,2013,10,144.8197,6,5301
3,0,1120000,1,15,13.8,3018,1,2,506,120,1930,10,144.8375,6,5301
4,0,1780000,3,85,13.8,3018,3,6,1057,220,1962,10,144.819,6,5301
3,2,630000,1,15,13.8,3018,1,2,311,94,1955,10,144.8143,6,5301
3,0,660000,4,85,13.8,3018,1,1,602,123,1955,10,144.8116,6,5301
2,2,580000,1,15,13.8,3018,1,1,225,93,1988,10,144.827,6,5301
3,0,1335000,1,260,13.8,3018,1,4,777,22,1953,10,144.8249,6,5301
2,2,510000,1,239,13.8,3018,1,1,127,76,1990,10,144.8182,6,5301
2,2,425000,1,260,13.8,3018,1,2,115,57,1980,10,144.8185,6,5301
2,2,391000,3,85,13.8,3018,1,1,0,65,1965,10,144.8384,6,5301
4,0,845000,1,260,13.8,3018,1,2,745,130,1950,10,144.8155,6,5301
3,2,730000,3,15,13.8,3018,2,1,69,141,2014,10,144.8286,6,5301
2,2,447000,1,31,13.8,3018,1,1,137,77,1990,10,144.8299,6,5301
3,0,678000,1,260,13.8,3018,1,2,606,87,1950,10,144.8124,6,5301
2,2,580000,0,23,13.8,3018,2,1,175,76,2013,10,144.8268,6,5301
3,0,840000,3,85,13.8,3018,2,2,534,136,1965,10,144.8245,6,5301
3,2,577000,1,251,13.8,3018,2,1,205,113,2007,10,144.815,6,5301
2,0,857000,3,260,13.8,3018,2,1,675,100,1950,10,144.8129,6,5301
3,2,730000,3,15,13.8,3018,2,1,70,3,2014,10,144.8285,6,5301
2,0,535600,3,51,13.8,3018,1,1,154,91,1996,10,144.8272,6,5301
5,0,1085000,1,71,11.1,3025,3,6,592,251,1965,10,144.8567,6,5132
3,0,781000,1,104,11.1,3025,1,2,533,117,1970,10,144.835,6,5132
2,1,421000,1,260,11.1,3025,1,1,77,77,2009,10,144.8529,6,5132
3,0,683000,1,71,11.1,3025,1,2,534,167,1967,10,144.8355,6,5132
3,0,720000,4,85,11.1,3025,2,1,0,130,2012,10,144.8583,6,5132
3,0,588000,1,251,11.1,3025,1,1,328,118,1970,10,144.8555,6,5132
3,0,710000,0,239,11.1,3025,1,3,540,116,1960,10,144.8378,6,5132
4,0,875000,3,104,11.1,3025,1,4,559,169,1965,10,144.8529,6,5132
3,0,675000,1,260,11.1,3025,2,2,171,109,2012,10,144.8554,6,5132
3,0,708000,1,85,11.1,3025,1,2,585,97,1960,10,144.8523,6,5132
4,0,693000,3,195,11.1,3025,2,4,315,170,2008,10,144.8467,6,5132
3,0,620000,3,99,11.1,3025,2,2,276,100,2010,10,144.8443,6,5132
3,0,728500,1,104,11.1,3025,1,1,531,157,1960,10,144.8385,6,5132
3,0,931000,1,260,11.1,3025,2,1,590,160,1950,10,144.8649,6,5132
3,0,815000,1,260,11.1,3025,2,3,555,130,1960,10,144.8388,6,5132
4,0,1200000,3,192,11.1,3025,1,4,633,158,1960,10,144.8541,6,5132
2,2,292000,1,104,11.1,3025,1,1,153,70,1970,10,144.8649,6,5132
2,2,599000,1,106,6.3,3143,1,1,0,76,1964,26,145.0262,5,4836
3,2,995000,1,135,6.3,3143,2,2,0,100,1998,26,145.016,5,4836
3,1,1205000,1,106,6.3,3143,2,2,101,105,2000,26,145.0135,5,4836
3,0,1939000,1,106,6.3,3143,2,2,296,150,1889,26,145.0274,5,4836
3,0,1870000,1,94,6.3,3143,1,1,217,116,1888,26,145.0182,5,4836
3,1,1918000,3,106,6.3,3143,2,2,0,165,1995,26,145.0267,5,4836
3,0,2050000,1,135,6.3,3143,2,1,205,116,1910,26,145.0281,5,4836
3,2,735000,0,135,6.3,3143,2,1,2113,14,1970,26,145.0262,5,4836
1,0,1435000,3,106,6.3,3143,2,1,144,107,1900,26,145.0228,5,4836
1,2,280000,0,260,6.3,3143,1,1,0,38,1975,26,145.0185,5,4836
2,2,592500,1,260,6.3,3143,1,1,0,73,1970,26,145.0174,5,4836
2,0,1210000,1,135,6.3,3143,1,0,249,96,1910,26,145.016,5,4836
4,0,2801000,1,135,6.3,3143,2,2,624,222,1900,26,145.0173,5,4836
3,0,1800000,0,192,6.3,3143,2,2,405,121,1910,26,145.0145,5,4836
4,0,2200000,0,106,6.3,3143,1,2,495,163,1900,26,145.0264,5,4836
6,0,5525000,1,135,6.3,3143,3,4,1491,516,1935,26,145.013,5,4836
1,2,440000,3,106,6.3,3143,1,1,0,53,1970,26,145.0115,5,4836
3,0,1300000,4,106,6.3,3143,1,2,212,106,1900,26,145.0149,5,4836
2,2,704000,3,85,6.3,3143,1,1,0,74,1969,26,145.0186,5,4836
2,2,620000,4,135,6.3,3143,1,1,0,98,1970,26,145.0198,5,4836
3,0,1900000,1,135,6.3,3143,1,2,328,108,1900,26,145.0158,5,4836
2,2,710000,1,106,6.3,3143,1,1,2471,80,1970,26,145.0186,5,4836
2,2,598000,1,260,6.3,3143,1,1,0,88,1970,26,145.0156,5,4836
3,0,1285000,1,135,6.3,3143,1,2,186,80,1920,26,145.0173,5,4836
2,2,520000,1,260,6.3,3143,1,1,0,76,1970,26,145.0183,5,4836
4,0,3625000,1,106,6.3,3143,1,2,709,251,1900,26,145.016,5,4836
4,0,4200000,4,111,6.3,3143,3,3,563,333,2000,26,145.0138,5,4836
3,1,1101000,1,106,6.3,3143,1,2,103,3,2000,26,145.0135,5,4836
3,0,3512500,1,135,6.3,3143,2,2,617,285,1998,26,145.0264,5,4836
3,2,869000,1,106,6.3,3143,1,1,0,91,1940,26,145.0264,5,4836
1,2,567000,1,260,6.3,3143,1,1,0,53,2013,26,145.0113,5,4836
3,0,940000,1,155,5.9,3032,1,2,298,108,1920,21,144.9195,6,6567
2,2,467000,3,28,5.9,3032,1,1,0,62,1980,21,144.9201,6,6567
3,0,1380000,3,155,5.9,3032,2,2,277,174,1910,21,144.9221,6,6567
2,2,490000,4,106,5.9,3032,1,1,423,62,1970,21,144.9015,6,6567
4,0,1850000,1,28,5.9,3032,3,1,478,270,1900,21,144.9179,6,6567
3,0,971000,3,155,5.9,3032,2,2,285,128,1900,21,144.9091,6,6567
2,0,710000,0,155,5.9,3032,1,1,214,77,1890,21,144.9142,6,6567
6,0,2425000,0,28,5.9,3032,3,2,1014,435,1887,21,144.9184,6,6567
2,0,750000,3,133,5.9,3032,1,1,226,92,1920,21,144.9093,6,6567
2,0,1053000,1,155,5.9,3032,1,1,269,109,1900,21,144.929,6,6567
3,0,1377000,1,155,5.9,3032,1,1,417,168,1900,21,144.9208,6,6567
3,0,970000,1,28,5.9,3032,1,2,350,125,1904,21,144.91,6,6567
2,0,751000,0,155,5.9,3032,1,1,118,79,1890,21,144.9288,6,6567
2,0,950000,3,194,5.9,3032,1,1,173,102,1900,21,144.9206,6,6567
2,2,685000,1,28,5.9,3032,1,2,228,90,1995,21,144.9066,6,6567
3,0,1230000,1,155,5.9,3032,1,2,594,148,1960,21,144.9064,6,6567
2,0,770000,0,155,5.9,3032,1,1,226,87,1900,21,144.9186,6,6567
4,0,890000,3,194,5.9,3032,1,1,300,185,1890,21,144.9143,6,6567
3,0,1440000,1,155,5.9,3032,1,1,487,131,1900,21,144.9146,6,6567
3,0,1000000,0,28,5.9,3032,2,2,440,120,1955,21,144.9031,6,6567
3,0,1435000,1,155,5.9,3032,2,2,532,147,1950,21,144.904,6,6567
1,2,390000,1,4,5.9,3032,1,1,0,58,1972,21,144.9094,6,6567
3,0,1425000,0,106,5.9,3032,2,2,495,139,1920,21,144.9055,6,6567
4,0,1340000,1,155,5.9,3032,2,2,683,232,1978,21,144.932,6,6567
3,0,955000,1,28,5.9,3032,1,1,263,117,1910,21,144.9116,6,6567
4,0,1100000,4,155,5.9,3032,2,5,559,195,1920,21,144.9136,6,6567
2,2,432000,1,23,5.9,3032,1,1,0,62,1978,21,144.9303,6,6567
4,0,1640000,1,194,5.9,3032,3,2,562,204,1890,21,144.903,6,6567
6,0,1430000,1,155,5.9,3032,2,1,461,286,1900,21,144.9295,6,6567
2,2,610000,3,28,5.9,3032,1,1,301,104,1995,21,144.914,6,6567
3,0,940000,1,155,5.9,3032,3,1,491,127,1950,21,144.9136,6,6567
3,0,890000,3,28,5.9,3032,1,1,242,110,1920,21,144.9114,6,6567
3,0,1180000,3,28,5.9,3032,2,2,617,149,1930,21,144.906,6,6567
4,0,1480000,1,194,5.9,3032,2,2,597,180,1939,21,144.9088,6,6567
2,1,865000,3,155,5.9,3032,2,1,146,132,2015,21,144.9038,6,6567
2,2,442000,1,4,5.9,3032,1,1,0,62,1975,21,144.9219,6,6567
3,0,1037500,1,4,5.9,3032,1,2,506,110,1920,21,144.9133,6,6567
3,1,1050000,1,106,5.9,3032,2,2,318,160,2013,21,144.9035,6,6567
2,2,440000,1,139,5.9,3032,1,1,0,65,1970,21,144.9137,6,6567
4,0,1430000,1,155,5.9,3032,2,0,418,158,1900,21,144.9187,6,6567
3,0,1130000,1,155,5.9,3032,2,1,272,157,1900,21,144.928,6,6567
3,0,1135000,1,28,5.9,3032,1,1,296,104,1910,21,144.9176,6,6567
4,0,950000,0,155,5.9,3032,2,1,298,147,1920,21,144.9131,6,6567
2,2,390000,0,106,5.9,3032,1,1,1957,69,2012,21,144.9074,6,6567
4,0,1345000,1,106,5.9,3032,1,1,552,155,1920,21,144.9138,6,6567
3,0,1381500,1,16,5.9,3032,2,2,416,168,1900,21,144.9055,6,6567
3,0,940000,1,106,5.9,3032,2,2,285,172,2011,21,144.9061,6,6567
3,0,995000,1,155,5.9,3032,2,1,314,177,2010,21,144.9042,6,6567
3,0,786000,1,28,5.9,3032,2,1,576,120,1940,21,144.9217,6,6567
2,0,705000,0,155,5.9,3032,1,3,252,108,1910,21,144.9206,6,6567
2,0,760000,0,155,5.9,3032,1,1,124,77,1900,21,144.9285,6,6567
3,1,1000000,1,155,5.9,3032,2,2,200,144,2003,21,144.9277,6,6567
3,0,1305000,1,16,5.9,3032,1,1,278,166,1900,21,144.9223,6,6567
3,0,1215000,1,221,5.9,3032,1,1,452,175,1960,21,144.9174,6,6567
2,2,545000,1,155,5.9,3032,1,2,194,71,1900,21,144.9118,6,6567
4,0,1705000,1,106,5.9,3032,2,4,598,273,2012,21,144.9104,6,6567
4,0,2650000,1,135,11,3147,3,2,753,399,2015,2,145.0767,5,3052
3,0,1670000,1,106,11,3147,2,2,599,220,1930,2,145.0688,5,3052
3,1,2050000,1,73,11,3147,3,4,310,315,2014,2,145.0714,5,3052
3,0,1555000,1,106,11,3147,2,2,731,149,1935,2,145.0676,5,3052
3,0,1100000,0,135,11,3147,3,2,276,178,2004,2,145.0778,5,3052
3,0,1337000,1,32,11,3147,1,2,583,112,1950,2,145.0786,5,3052
8,0,2950000,1,260,11,3147,7,4,1472,618,2009,2,145.0788,5,3052
3,0,1518000,1,106,11,3147,2,2,516,145,1920,2,145.0668,5,3052
3,0,1710000,1,260,11,3147,1,2,806,101,1950,2,145.084,5,3052
3,0,1655000,1,106,11,3147,1,3,780,152,1940,2,145.0815,5,3052
4,0,1550000,4,135,11,3147,2,2,780,180,1938,2,145.0817,5,3052
3,0,1662000,1,106,11,3147,2,2,351,228,2006,2,145.07,5,3052
3,0,1665000,1,106,11,3147,2,3,702,145,1945,2,145.0695,5,3052
5,0,3510000,1,106,11,3147,5,2,755,444,2015,2,145.0796,5,3052
3,1,900000,1,106,11,3147,2,2,153,110,1990,2,145.0808,5,3052
5,0,2752000,1,106,11,3147,4,2,1075,390,2010,2,145.073,5,3052
3,0,1500000,4,106,11,3147,2,2,710,139,1945,2,145.0897,5,3052
4,0,1800000,1,106,11,3147,2,4,749,206,1950,2,145.077,5,3052
3,0,1830000,1,106,11,3147,2,3,724,168,1940,2,145.0879,5,3052
3,0,1415000,1,32,11,3147,1,1,605,111,1950,2,145.0774,5,3052
2,0,1440000,0,106,11,3147,1,1,687,104,1940,2,145.0692,5,3052
4,1,1250000,4,161,11,3147,2,2,321,199,2007,2,145.08,5,3052
5,0,1600000,1,135,11,3147,3,4,700,266,1950,2,145.0758,5,3052
4,0,1860000,1,106,11,3147,2,3,696,274,2000,2,145.0746,5,3052
4,0,1790000,0,260,11,3147,2,2,514,240,1935,2,145.0772,5,3052
4,0,1950000,1,229,11,3147,2,2,844,278,1940,2,145.0688,5,3052
3,0,1650000,1,135,11,3147,1,1,697,164,1947,2,145.0903,5,3052
4,0,1200000,3,188,12.2,3147,3,2,372,201,2016,20,145.0999,5,2894
2,0,1075000,4,106,12.2,3147,1,2,695,114,1950,20,145.0944,5,2894
4,0,1500000,1,73,12.2,3147,2,2,621,203,2000,20,145.1023,5,2894
2,1,700000,1,260,12.2,3147,1,2,367,110,1970,20,145.109,5,2894
3,0,761000,0,73,12.2,3147,2,4,400,94,1950,20,145.106,5,2894
3,0,1365000,1,73,12.2,3147,1,1,792,792,1950,20,145.0972,5,2894
4,0,1100000,4,229,12.2,3147,2,2,803,152,1970,20,145.1126,5,2894
2,2,690000,1,196,12.2,3147,1,1,216,90,2003,20,145.1017,5,2894
3,0,1631000,1,106,12.2,3147,2,3,782,215,1950,20,145.1021,5,2894
4,0,1500000,1,32,12.2,3147,2,1,593,255,1930,20,145.096,5,2894
5,0,1529500,1,32,12.2,3147,3,2,585,317,2000,20,145.1024,5,2894
2,2,600000,1,161,12.2,3147,1,1,153,80,1970,20,145.0962,5,2894
4,0,1240000,1,229,12.2,3147,2,2,766,192,1950,20,145.1097,5,2894
2,2,700000,1,260,12.2,3147,1,2,192,88,2007,20,145.102,5,2894
2,0,1110000,1,73,12.2,3147,1,1,586,86,1950,20,145.1082,5,2894
3,0,1305000,1,106,12.2,3147,1,1,760,120,1960,20,145.1038,5,2894
3,0,855000,1,161,12.2,3147,2,1,320,85,1958,20,145.1103,5,2894
3,1,900500,1,106,12.2,3147,2,2,256,134,2012,20,145.1096,5,2894
3,0,1200000,4,32,12.2,3147,2,2,839,198,1970,20,145.1098,5,2894
3,1,830000,1,16,12.2,3147,1,2,212,130,2012,20,145.1089,5,2894
3,0,850000,1,150,10.5,3034,1,1,593,118,1970,21,144.8674,6,4502
3,0,750000,3,150,10.5,3034,1,1,0,103,1980,21,144.8611,6,4502
3,1,851000,1,155,10.5,3034,3,1,557,181,2017,21,144.8572,6,4502
4,0,1155000,1,155,10.5,3034,2,2,569,225,2008,21,144.8655,6,4502
3,0,680000,1,155,10.5,3034,1,2,570,120,1970,21,144.8542,6,4502
3,0,627500,3,150,10.5,3034,1,1,550,143,1970,21,144.8622,6,4502
4,0,950000,1,150,10.5,3034,3,3,761,281,1970,21,144.8714,6,4502
3,0,705000,1,155,10.5,3034,1,1,581,106,1960,21,144.8575,6,4502
4,0,1100000,4,28,10.5,3034,3,2,873,395,1992,21,144.8639,6,4502
3,0,892500,1,155,10.5,3034,1,1,586,118,1965,21,144.8603,6,4502
2,0,522500,1,155,10.5,3034,1,1,220,101,1995,21,144.8641,6,4502
4,0,680000,0,155,10.5,3034,2,2,554,140,1960,21,144.8633,6,4502
3,0,875000,1,68,10.5,3034,1,3,812,117,1960,21,144.8578,6,4502
4,0,762000,1,155,10.5,3034,2,2,589,150,1961,21,144.8534,6,4502
2,2,411000,0,16,10.5,3034,1,1,0,85,1995,21,144.863,6,4502
3,0,805000,1,155,10.5,3034,2,2,593,103,1970,21,144.8581,6,4502
3,0,634000,1,155,10.5,3034,2,1,582,153,1950,21,144.8568,6,4502
4,0,1819000,1,82,6.6,3183,2,1,244,180,1900,25,144.9928,5,2952
2,2,410000,0,260,6.6,3183,1,2,0,61,1965,25,144.9958,5,2952
2,1,1015000,1,82,6.6,3183,1,2,114,120,2000,25,144.9961,5,2952
2,2,502500,1,32,6.6,3183,1,1,0,65,1960,25,144.9952,5,2952
2,2,520000,1,82,6.6,3183,1,0,0,58,1970,25,144.9972,5,2952
2,2,442000,3,32,6.6,3183,1,1,0,61,1960,25,144.9962,5,2952
3,0,1193000,1,140,6.6,3183,1,1,178,100,1920,25,144.9948,5,2952
2,2,416000,1,46,6.6,3183,1,1,0,49,1960,25,144.9966,5,2952
2,2,474000,1,260,6.6,3183,1,1,0,59,1970,25,144.9917,5,2952
2,0,981000,1,32,6.6,3183,1,0,159,84,1930,25,144.9933,5,2952
3,0,1690000,1,140,6.6,3183,2,2,339,159,1890,25,144.9909,5,2952
2,2,540000,4,140,6.6,3183,1,1,483,51,1970,25,144.9969,5,2952
2,0,2100000,1,135,9.7,3103,1,1,659,123,1920,2,145.0807,5,5682
4,0,1800000,4,135,9.7,3103,2,2,715,218,1985,2,145.0958,5,5682
2,1,1255000,1,161,9.7,3103,1,1,208,129,2000,2,145.0975,5,5682
3,2,1070000,2,179,9.7,3103,2,2,206,112,1998,2,145.0812,5,5682
5,0,2570000,0,192,9.7,3103,3,2,715,420,2009,2,145.0768,5,5682
4,0,2400000,4,193,9.7,3103,2,2,744,226,1985,2,145.0748,5,5682
2,2,806000,1,161,9.7,3103,1,1,122,97,1977,2,145.0916,5,5682
6,0,4000000,4,106,9.7,3103,4,7,2051,449,1935,2,145.1016,5,5682
5,0,2250000,0,161,9.7,3103,3,2,600,356,2006,2,145.0801,5,5682
5,0,2800000,4,135,9.7,3103,3,2,678,349,2001,2,145.0708,5,5682
2,0,1850000,4,73,9.7,3103,1,1,1015,166,1930,2,145.0826,5,5682
3,0,700000,4,135,9.7,3103,1,1,188,110,1970,2,145.065,5,5682
2,0,500000,1,135,9.7,3103,1,1,0,72,1960,2,145.0841,5,5682
3,0,2125000,3,106,9.7,3103,2,2,699,252,1985,2,145.0966,5,5682
4,0,1800000,0,106,9.7,3103,2,2,577,200,1948,2,145.0693,5,5682
2,2,635000,1,73,9.7,3103,1,1,0,70,2014,2,145.0724,5,5682
2,2,526000,1,260,9.7,3103,1,1,0,73,1960,2,145.0993,5,5682
3,0,905000,1,111,9.7,3103,1,2,281,150,1995,2,145.0652,5,5682
4,0,1750000,0,10,9.7,3103,3,2,453,308,2016,2,145.1006,5,5682
2,1,760000,1,47,9.7,3103,1,1,121,100,1960,2,145.0881,5,5682
3,1,1367000,1,106,9.7,3103,2,2,219,164,2003,2,145.0849,5,5682
4,1,1400000,0,161,9.7,3103,3,2,241,240,2009,2,145.1042,5,5682
4,0,3270000,1,73,9.7,3103,2,4,935,241,1927,2,145.0795,5,5682
2,2,625000,0,106,9.7,3103,1,1,115,104,1960,2,145.0879,5,5682
4,0,2730000,1,192,9.7,3103,3,2,674,336,1997,2,145.0786,5,5682
2,2,460000,4,106,9.7,3103,1,1,0,79,1950,2,145.0839,5,5682
2,2,1053000,1,73,9.7,3103,1,2,231,98,1985,2,145.0821,5,5682
3,1,1472000,1,161,9.7,3103,2,2,306,170,1995,2,145.0848,5,5682
2,2,754000,0,135,9.7,3103,1,1,87,88,1990,2,145.081,5,5682
4,0,2188000,1,135,9.7,3103,2,2,752,253,1981,2,145.0747,5,5682
2,2,755000,0,161,9.7,3103,1,1,213,92,1980,2,145.0789,5,5682
4,0,3290000,1,106,9.7,3103,3,2,1007,350,1910,2,145.0995,5,5682
4,0,2410000,1,73,9.7,3103,2,1,685,207,1940,2,145.071,5,5682
2,2,650000,1,106,9.7,3103,1,1,0,150,1960,2,145.084,5,5682
4,0,2000000,0,260,9.7,3103,1,2,739,291,1930,2,145.0631,5,5682
4,0,1900000,1,134,9.7,3103,2,1,665,155,1940,2,145.0825,5,5682
3,0,3401000,1,106,9.7,3103,2,1,706,166,1930,2,145.0748,5,5682
3,0,1750000,4,106,9.7,3103,2,3,613,193,1943,2,145.0688,5,5682
5,0,3020000,0,106,9.7,3103,3,2,715,420,2009,2,145.0768,5,5682
5,0,2450000,1,135,9.7,3103,2,2,981,260,1960,2,145.0627,5,5682
2,2,730000,1,260,9.7,3103,1,1,130,80,1960,2,145.0876,5,5682
3,0,1500000,3,161,9.7,3103,2,2,404,190,2011,2,145.1011,5,5682
4,0,1700000,4,135,9.7,3103,1,1,672,115,1935,2,145.0792,5,5682
3,1,1315000,1,260,9.2,3104,2,2,260,167,2000,2,145.1021,5,7809
3,0,1500000,0,106,9.2,3104,2,1,778,154,1950,2,145.0789,5,7809
4,0,3230000,1,106,9.2,3104,4,3,1135,275,1960,2,145.0892,5,7809
4,0,1905000,1,161,9.2,3104,2,2,647,185,1955,2,145.0868,5,7809
5,0,3300000,0,260,9.2,3104,4,2,760,477,2015,2,145.0907,5,7809
4,0,1900000,4,73,9.2,3104,2,2,642,215,1955,2,145.0726,5,7809
